name,year,rank,certificate,duration,genre,rating,description
Shichinin no samurai,1954,31,U,207 min,"
Action",8.6,"
    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves."
It's a Wonderful Life,1946,32,Not Rated,130 min,"
Drama",8.6,"
    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
Joker,2019,33,A,122 min,"
Crime",8.5,"
    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Whiplash,2014,34,A,106 min,"
Drama",8.5,"
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
The Intouchables,2011,35,UA,112 min,"
Biography",8.5,"
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Prestige,2006,36,PG-13,130 min,"
Drama",8.5,"
    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,2006,37,A,151 min,"
Crime",8.5,"
    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
The Pianist,2002,38,13,150 min,"
Biography",8.5,"
    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
Gladiator,2000,39,UA,155 min,"
Action",8.5,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
American History X,1998,40,A,119 min,"
Drama            ",8.5,"
    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did."
The Usual Suspects,1995,41,A,106 min,"
Crime",8.5,"
    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Léon,1994,42,A,110 min,"
Action",8.5,"
    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Lion King,1994,43,U,88 min,"
Animation",8.5,"
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Terminator 2: Judgment Day,1991,44,U,137 min,"
Action",8.5,"
    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
Nuovo Cinema Paradiso,1988,45,R,155 min,"
Drama            ",8.5,"
    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."
Hotaru no haka,1988,46,U,89 min,"
Animation",8.5,"
    A young boy and his little sister struggle to survive in Japan during World War II."
Back to the Future,1985,47,U,116 min,"
Adventure",8.5,"
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
Anand,1971,48,U,122 min,"
Drama",8.5,"
    The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Once Upon a Time in the West,1968,49,U,165 min,"
Western            ",8.5,"
    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
Psycho,1960,50,A,109 min,"
Horror",8.5,"
    A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Casablanca,1942,51,U,102 min,"
Drama",8.5,"
    A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco."
Modern Times,1936,52,None,87 min,"
Comedy",8.5,"
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
City Lights,1931,53,G,87 min,"
Comedy",8.5,"
    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Capharnaüm,2018,54,A,126 min,"
Drama            ",8.4,"
    While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Kimi no na wa.,2016,55,U,106 min,"
Animation",8.4,"
    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Dangal,2016,56,U,161 min,"
Action",8.4,"
    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
Spider-Man: Into the Spider-Verse,2018,57,U,117 min,"
Animation",8.4,"
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Avengers: Endgame,2019,58,UA,181 min,"
Action",8.4,"
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Avengers: Infinity War,2018,59,UA,149 min,"
Action",8.4,"
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
Coco,I 2017,60,U,105 min,"
Animation",8.4,"
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Django Unchained,2012,61,A,165 min,"
Drama",8.4,"
    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
The Dark Knight Rises,2012,62,UA,164 min,"
Action",8.4,"
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
3 Idiots,2009,63,UA,170 min,"
Comedy",8.4,"
    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Taare Zameen Par,2007,64,U,165 min,"
Drama",8.4,"
    An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
WALL·E,2008,65,U,98 min,"
Animation",8.4,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
The Lives of Others,2006,66,A,137 min,"
Drama",8.4,"
    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Oldeuboi,2003,67,A,101 min,"
Action",8.4,"
    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Memento,2000,68,R,113 min,"
Mystery",8.4,"
    A man with short-term memory loss attempts to track down his wife's murderer."
Mononoke-hime,1997,69,U,134 min,"
Animation",8.4,"
    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Once Upon a Time in America,1984,70,A,229 min,"
Crime",8.4,"
    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
Raiders of the Lost Ark,1981,71,U,115 min,"
Action",8.4,"
    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
The Shining,1980,72,A,146 min,"
Drama",8.4,"
    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Apocalypse Now,1979,73,R,147 min,"
Drama",8.4,"
    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god."
Alien,1979,74,A,117 min,"
Horror",8.4,"
    After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Tengoku to jigoku,1963,75,None,143 min,"
Crime",8.4,"
    An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,76,A,95 min,"
Comedy            ",8.4,"
    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop."
Witness for the Prosecution,1957,77,None,116 min,"
Crime",8.4,"
    A veteran British barrister must defend his client in a murder trial that has surprise after surprise."
Paths of Glory,1957,78,None,88 min,"
Drama",8.4,"
    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Rear Window,1954,79,U,112 min,"
Mystery",8.4,"
    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder."
Sunset Blvd.,1950,80,None,110 min,"
Drama",8.4,"
    A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return."
The Great Dictator,1940,81,None,125 min,"
Comedy",8.4,"
    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."
1917,2019,82,R,119 min,"
Drama",8.3,"
    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Andhadhun,2018,83,UA,139 min,"
Crime",8.3,"
    A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Jagten,2012,84,R,115 min,"
Drama            ",8.3,"
    A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Jodaeiye Nader az Simin,2011,85,PG-13,123 min,"
Drama",8.3,"
    A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease."
Incendies,2010,86,R,131 min,"
Drama",8.3,"
    Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes."
Babam ve Oglum,2005,87,None,112 min,"
Drama",8.3,"
    The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980."
Toy Story 3,2010,88,U,103 min,"
Animation",8.3,"
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Inglourious Basterds,2009,89,A,153 min,"
Adventure",8.3,"
    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Eternal Sunshine of the Spotless Mind,2004,90,UA,108 min,"
Drama",8.3,"
    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Amélie,2001,91,U,122 min,"
Comedy",8.3,"
    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Snatch,2000,92,UA,104 min,"
Comedy",8.3,"
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Requiem for a Dream,2000,93,A,102 min,"
Drama            ",8.3,"
    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep."
American Beauty,1999,94,A,122 min,"
Drama            ",8.3,"
    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend."
Good Will Hunting,1997,95,U,126 min,"
Drama",8.3,"
    Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Bacheha-Ye aseman,1997,96,PG,89 min,"
Drama",8.3,"
    After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Toy Story,1995,97,U,81 min,"
Animation",8.3,"
    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
Braveheart,1995,98,A,178 min,"
Biography",8.3,"
    Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England."
Reservoir Dogs,1992,99,15+,99 min,"
Crime",8.3,"
    When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Full Metal Jacket,1987,100,UA,116 min,"
Drama",8.3,"
    A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
Idi i smotri,1985,101,A,142 min,"
Drama",8.3,"
    After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Aliens,1986,102,A,137 min,"
Action",8.3,"
    Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
Amadeus,1984,103,R,160 min,"
Biography",8.3,"
    The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Scarface,1983,104,A,170 min,"
Crime",8.3,"
    In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Star Wars: Episode VI - Return of the Jedi,1983,105,U,131 min,"
Action",8.3,"
    After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Das Boot,1981,106,R,149 min,"
Adventure",8.3,"
    The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
Taxi Driver,1976,107,A,114 min,"
Crime",8.3,"
    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
The Sting,1973,108,U,129 min,"
Comedy",8.3,"
    Two grifters team up to pull off the ultimate con."
A Clockwork Orange,1971,109,A,136 min,"
Crime",8.3,"
    In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
2001: A Space Odyssey,1968,110,U,149 min,"
Adventure",8.3,"
    After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
Per qualche dollaro in più,1965,111,U,132 min,"
Western            ",8.3,"
    Two bounty hunters with the same intentions team up to track down a Western outlaw."
Lawrence of Arabia,1962,112,U,228 min,"
Adventure",8.3,"
    The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
The Apartment,1960,113,U,125 min,"
Comedy",8.3,"
    A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
North by Northwest,1959,114,None,136 min,"
Adventure",8.3,"
    A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies."
Vertigo,1958,115,PG,128 min,"
Mystery",8.3,"
    A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman."
Singin' in the Rain,1952,116,G,103 min,"
Comedy",8.3,"
    A silent film production company and cast make a difficult transition to sound."
Ikiru,1952,117,None,143 min,"
Drama            ",8.3,"
    A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer."
Ladri di biciclette,1948,118,None,89 min,"
Drama            ",8.3,"
    In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
Double Indemnity,1944,119,None,107 min,"
Crime",8.3,"
    An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator."
Citizen Kane,1941,120,PG,119 min,"
Drama",8.3,"
    Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
M - Eine Stadt sucht einen Mörder,1931,121,None,117 min,"
Crime",8.3,"
    When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Metropolis,1927,122,None,153 min,"
Drama",8.3,"
    In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
The Kid,1921,123,None,68 min,"
Comedy",8.3,"
    The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
Green Book,2018,124,UA,130 min,"
Biography",8.2,"
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South."
"Three Billboards Outside Ebbing, Missouri",2017,125,A,115 min,"
Comedy",8.2,"
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit."
Klaus,2019,126,7,96 min,"
Animation",8.2,"
    A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Drishyam,2015,127,UA,163 min,"
Crime",8.2,"
    Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Mandariinid,2013,128,None,87 min,"
Drama",8.2,"
    In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
Gangs of Wasseypur,2012,129,A,321 min,"
Action",8.2,"
    A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
El secreto de sus ojos,2009,130,R,129 min,"
Drama",8.2,"
    A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later."
Warrior,2011,131,UA,140 min,"
Action",8.2,"
    The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Shutter Island,2010,132,A,138 min,"
Mystery",8.2,"
    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Up,2009,133,U,96 min,"
Animation",8.2,"
    78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
The Wolf of Wall Street,2013,134,A,180 min,"
Biography",8.2,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
There Will Be Blood,2007,135,R,158 min,"
Drama            ",8.2,"
    A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Pan's Labyrinth,2006,136,UA,118 min,"
Drama",8.2,"
    In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
V for Vendetta,2005,137,A,132 min,"
Action",8.2,"
    In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
Rang De Basanti,2006,138,UA,167 min,"
Comedy",8.2,"
    The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Batman Begins,2005,139,UA,140 min,"
Action",8.2,"
    After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Der Untergang,2004,140,R,156 min,"
Biography",8.2,"
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Hauru no ugoku shiro,2004,141,U,119 min,"
Animation",8.2,"
    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
A Beautiful Mind,2001,142,UA,135 min,"
Biography",8.2,"
    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
"Lock, Stock and Two Smoking Barrels",1998,143,A,107 min,"
Action",8.2,"
    A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
L.A. Confidential,1997,144,A,138 min,"
Crime",8.2,"
    As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Eskiya,1996,145,None,128 min,"
Crime",8.2,"
    Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
Heat,1995,146,A,170 min,"
Crime",8.2,"
    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist."
Casino,1995,147,A,178 min,"
Crime",8.2,"
    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
Unforgiven,1992,148,A,130 min,"
Drama",8.2,"
    Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett)."
Indiana Jones and the Last Crusade,1989,149,U,127 min,"
Action",8.2,"
    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Tonari no Totoro,1988,150,U,86 min,"
Animation",8.2,"
    When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Die Hard,1988,151,A,132 min,"
Action",8.2,"
    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles."
Ran,1985,152,U,162 min,"
Action",8.2,"
    In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Raging Bull,1980,153,A,129 min,"
Biography",8.2,"
    The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Stalker,1979,154,U,162 min,"
Drama",8.2,"
    A guide leads two men through an area known as the Zone to find a room that grants wishes."
Monty Python and the Holy Grail,1975,155,None,91 min,"
Adventure",8.2,"
    King Arthur (Graham Chapman) and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Chinatown,1974,156,UA,130 min,"
Drama",8.2,"
    A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
The Great Escape,1963,157,U,172 min,"
Adventure",8.2,"
    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II."
To Kill a Mockingbird,1962,158,U,129 min,"
Crime",8.2,"
    Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
Yôjinbô,1961,159,None,110 min,"
Action",8.2,"
    A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town."
Judgment at Nuremberg,1961,160,A,179 min,"
Drama",8.2,"
    In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
Some Like It Hot,1959,161,U,121 min,"
Comedy",8.2,"
    After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Smultronstället,1957,162,U,91 min,"
Drama",8.2,"
    After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
Det sjunde inseglet,1957,163,A,96 min,"
Drama",8.2,"
    A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Du rififi chez les hommes,1955,164,None,118 min,"
Crime",8.2,"
    Four men plan a technically perfect crime, but the human element intervenes..."
